country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",iso,relpct,region
Egypt,2016,4.556740761,9.24176693,0.809218585,61.41390228,0.655845225,-0.15103294,0.817527413,0.611369669,0.37049821,0.619130909,-1.322574735,-0.654946685,2.055170298,0.45101761799999995,,0.3122,0.36256346100000003,EGY,100.0,Middle East and North Africa
El Salvador,2016,6.139824867000001,8.985945702,0.793659985,64.09453583,0.799847007,-0.193339467,0.797312021,0.761255682,0.34573647399999996,0.251704782,0.109323271,-0.364584833,2.598125935,0.423159629,,0.4611875,0.45776456600000004,SLV,99.0,Latin America and Caribbean
Estonia,2016,5.649675369,10.24334908,0.937715113,67.19949341,0.842770696,-0.158623278,0.6390852929999999,0.72625488,0.176869258,0.33983430299999995,0.946931064,1.317937613,1.753086329,0.310298592,,0.33299999999999996,0.343596786,EST,40.0,Central and Eastern Europe
Ethiopia,2016,4.297848701,7.382928848,0.7187187079999999,56.29738235,0.744307697,0.048651735999999994,0.7028808590000001,0.727070868,0.25394052300000003,0.748945594,-1.507640004,-0.643243372,1.808982134,0.4209041,,0.315,0.520988226,ETH,100.0,Sub-Saharan Africa
Finland,2016,7.659843445,10.58463955,0.9539404509999999,71.51737213,0.948372185,-0.03667929,0.249659568,0.797325075,0.18199844699999998,0.485727251,1.223631263,1.99170208,1.479018688,0.193087325,,0.275909091,0.39482122700000005,FIN,84.0,Western Europe
France,2016,6.475208759,10.54688931,0.884922922,72.58893585,0.786780477,-0.10183014,0.622697055,0.772661328,0.27003625,0.283978164,0.5061739679999999,1.312436581,1.8015296459999999,0.278219551,,0.3203,0.340985149,FRA,52.5,Western Europe
Gabon,2016,4.831764221,9.728300095,0.780048966,56.71354675,0.698942363,-0.22615079600000002,0.816563547,0.640116572,0.432404667,0.378069758,-0.516067624,-0.730402172,2.214463711,0.458313704,,0.42200000000000004,0.55723691,GAB,95.0,Sub-Saharan Africa
Georgia,2016,4.448386192,9.135268211,0.533412278,64.2196579,0.606468379,-0.237453327,0.5609240529999999,0.563896,0.223224476,0.344541132,-0.034774855,0.640127957,1.960208535,0.440656096,,0.4034375,0.44099170000000004,GEO,99.3,Commonwealth of Independent States
Germany,2016,6.873763084,10.69784451,0.906029284,71.07910156,0.8705150490000001,0.138018474,0.445922136,0.7377459409999999,0.187254936,0.5526135560000001,1.0431809429999999,1.748804927,1.775906086,0.258360088,,0.311571429,0.354512513,DEU,60.0,Western Europe
Ghana,2016,4.514411449,8.289088249,0.647303164,54.61029434,0.75116837,0.094788618,0.893955231,0.668263912,0.304909706,0.516604602,0.24018076100000002,-0.151163995,2.737042665,0.606290042,,0.425,0.543426812,GHA,93.9,Sub-Saharan Africa
Greece,2016,5.302619457,10.09730911,0.802605867,71.647789,0.481616855,-0.266483158,0.898470819,0.700504363,0.33620750899999996,0.13248655199999998,0.25741195699999997,0.125827178,2.317297935,0.43701005,,0.346909091,0.317848623,GRC,100.0,Western Europe
Guatemala,2016,6.358916282999999,8.904734612,0.811235487,63.14004898,0.862675726,0.008398513,0.812030017,0.8461225029999999,0.32135719100000004,0.46896219299999997,-0.422242403,-0.646931469,2.6994218830000003,0.42450973399999997,,0.52675,0.48915869,GTM,98.1,Latin America and Caribbean
Guinea,2016,3.6028547289999997,7.5084247589999995,0.675447047,50.66684341,0.7256851790000001,-0.043400712,0.802781165,0.686984658,0.37439379100000003,0.465695828,-0.569726825,-1.026624203,2.1184866430000002,0.588002264,,0.387,0.520185173,GIN,100.0,Sub-Saharan Africa
Haiti,2016,3.3523001669999997,7.410928726,0.58374244,53.09737778,0.303540409,0.294325322,0.838523149,0.5527740720000001,0.367341012,0.146064624,-0.7020208840000001,-1.410874009,2.188143969,0.652729154,,0.409,0.6137102839999999,HTI,99.0,Latin America and Caribbean
Honduras,2016,5.648154736,8.387600899,0.7739099859999999,63.58427429,0.8500466940000001,0.08708684900000001,0.7928751709999999,0.8323967459999999,0.296846688,0.38927450799999996,-0.39538946700000005,-0.761657715,2.970618963,0.525945067,,0.5556,0.529477537,HND,98.9,Latin America and Caribbean
Hong Kong S.A.R. of China,2016,5.498420715,10.90189648,0.83207792,76.26802826,0.799743414,0.082167558,0.40281257,0.664092779,0.213114589,0.44961038200000003,0.55514127,1.821865916,1.819238186,0.330865592,,,0.5132289529999999,,,East Asia
Hungary,2016,5.448901652999999,10.15244865,0.899511576,67.01950836,0.55395174,-0.19839394100000002,0.924185812,0.66591078,0.24332577,0.30377233,0.542590141,0.411992431,1.845377684,0.338669658,,0.296818182,0.301498115,HUN,75.3,Central and Eastern Europe
Iceland,2016,7.510034561,10.72054195,0.984940052,72.75598145,0.9516095520000001,0.272110164,0.719299555,0.873887897,0.158169165,0.36351829799999996,1.33810854,1.5457340480000001,1.5712463859999999,0.20921959,,0.280090909,0.340639085,ISL,89.96000000000001,Western Europe
India,2016,4.179177284,8.714838027999999,0.613529384,59.25857925,0.820068777,0.033288639,0.764722109,0.69450444,0.34568145899999997,0.732104599,-0.270197809,-0.14469890300000002,1.74134922,0.416672736,,0.35200000000000004,0.393607318,IND,99.9,South Asia
Indonesia,2016,5.136325359,9.284013748,0.7918305990000001,60.43583679,0.82994163,0.485145062,0.889677405,0.832811952,0.34157359600000003,0.80088073,-0.117177516,-0.21305927600000002,2.546778202,0.495836616,,0.395,0.41366928799999997,IDN,100.0,Southeast Asia
Iran,2016,4.652730942,9.825400352,0.566281199,65.73584747,0.773303747,0.150406659,0.7127826209999999,0.686764956,0.52587682,0.7094711659999999,-1.065353274,-0.715637684,2.542438507,0.546440065,,0.4132,0.524211705,IRN,100.0,Middle East and North Africa
Iraq,2016,4.4125370980000005,9.685761452000001,0.7189567090000001,60.86371613,0.666160166,-0.091289066,0.798866451,0.488692015,0.569758058,0.418604314,-1.643929005,-1.371656775,2.9487881660000004,0.668274999,,0.2905,0.5483731629999999,IRQ,100.0,Middle East and North Africa
Ireland,2016,7.04073143,11.05076122,0.9581440090000001,71.57509613,0.874589145,0.161003679,0.398544312,0.8092030290000001,0.211063311,0.574739754,1.0854326490000001,1.564082265,1.8430733680000002,0.26177299,,0.325545455,0.36578542,IRL,93.7,Western Europe
Israel,2016,7.159010887000001,10.39464664,0.8896607759999999,71.95502472,0.772297323,0.144781038,0.804056585,0.629189372,0.263090223,0.43813318,-0.027976096000000002,1.1858693359999999,1.66659677,0.23279707100000002,,0.41100000000000003,0.306069046,ISR,96.6,Middle East and North Africa
Italy,2016,5.95452404,10.45493507,0.9272128340000001,73.7829895,0.623741627,-0.08879725599999999,0.902801216,0.6854228379999999,0.339173585,0.23759909,0.694441795,0.386021525,1.871863604,0.314359903,,0.34127272700000005,0.397048205,ITA,79.5,Western Europe
Ivory Coast,2016,4.542545795,8.138788222999999,0.617400765,46.52892685,0.7687893509999999,-0.027511623,0.757453382,0.70361656,0.378029406,0.714816749,-0.593027055,-0.560975373,2.462603807,0.542119741,,0.42066666700000005,0.550322711,CIV,100.0,Sub-Saharan Africa
Japan,2016,5.954650879,10.55195904,0.8997738359999999,75.08885193,0.836064637,-0.079771206,0.697639346,0.76010859,0.192402646,0.36220064799999996,1.004748583,1.537288904,1.8989526030000001,0.318902433,,0.321,0.32905584600000004,JPN,23.0,East Asia
Jordan,2016,5.27128458,9.034749031,0.8199447390000001,64.29154205,0.771350622,-0.038151234,,0.640657842,0.311913371,,-0.6442906860000001,0.192616478,2.675685644,0.507596493,,0.34299999999999997,0.369783759,JOR,100.0,Middle East and North Africa
Kazakhstan,2016,5.533551693,10.0623312,0.9278106690000001,63.86470795,0.7828055620000001,-0.051563937000000004,0.7020166520000001,0.702479124,0.15541473,0.7597261670000001,-0.622102797,-0.345599562,2.01249814,0.363690138,,0.295066667,0.33912777899999996,KAZ,95.0,Commonwealth of Independent States
Kenya,2016,4.396127701,7.981255054,0.70592159,58.29753876,0.748508275,0.314662308,0.8284115790000001,0.742762327,0.225647658,0.577654064,-0.737279534,-0.510546505,2.43389678,0.553645611,,0.485,0.556292892,KEN,100.0,Sub-Saharan Africa
Kosovo,2016,5.759412289,9.164076805,0.82380271,62.17642975,0.8273985979999999,0.117103048,0.940897942,0.703886986,0.14960672,0.313764572,,,2.297620058,0.39893308299999997,,,0.40747433899999996,,,Central and Eastern Europe
Kuwait,2016,5.947194576,11.13985634,0.8452220559999999,65.27143097,0.840967178,-0.11594404300000001,,0.688287258,0.314922988,,-0.42088061600000004,-0.106411517,2.360634089,0.396932393,,,0.538838744,KWT,99.93,Middle East and North Africa
Kyrgyzstan,2016,4.856534003999999,8.099241257000001,0.914375484,62.67971039,0.813939214,0.078918613,0.9169228079999999,0.7781712409999999,0.126099676,0.527570188,-0.572721183,-0.8562623859999999,1.9193524119999998,0.395210326,,0.306375,0.40185576700000003,KGZ,100.0,Commonwealth of Independent States
Latvia,2016,5.940446377000001,10.0739727,0.917073965,65.10926056,0.685299277,-0.164454147,0.8676396009999999,0.653751254,0.231383532,0.31526130399999996,0.6312989,0.8798151609999999,1.705120325,0.287035733,,0.36200000000000004,0.384025455,LVA,75.5,Central and Eastern Europe
Lebanon,2016,5.27072382,9.493102074,0.827885926,68.71556854,0.657357454,0.030867047999999998,0.853114486,0.552651107,0.263445616,0.137951434,-1.038987398,-0.674152195,2.212087393,0.419693291,,0.318,0.322835147,LBN,100.0,Middle East and North Africa
Lesotho,2016,3.8082048889999998,7.914381981,0.798059285,46.48040009,0.729489863,-0.100786686,0.742873371,0.732465565,0.27028349,0.609269023,-0.10921992400000001,-0.34722355,3.102682352,0.8147361870000001,,0.529,0.676437318,LSO,100.0,Sub-Saharan Africa
Liberia,2016,3.354676008,6.624804974,0.642614603,52.38512802,0.7634760140000001,0.08607717599999999,0.9012674690000001,0.635527551,0.509046674,0.5442469120000001,-0.320883244,-0.9872715470000001,2.625506639,0.782640874,,0.3485,0.558121264,LBR,99.9,Sub-Saharan Africa
Libya,2016,5.43358326,9.625382423,0.87606585,61.38998795,0.8223848340000001,-0.130131885,,0.71778506,0.383073747,,-1.790413499,-1.900852084,2.687953711,0.494692653,,,0.480711341,LBY,99.8,Middle East and North Africa
Lithuania,2016,5.865552425,10.2365284,0.937873363,66.51252747,0.614239335,-0.27543574600000004,0.949392676,0.5941672920000001,0.249855742,0.279638559,0.8926374909999999,0.977511108,1.906200886,0.324982315,,0.353090909,0.355488271,LTU,90.5,Central and Eastern Europe
Luxembourg,2016,6.967340946,11.45915508,0.9412605759999999,72.20130920000001,0.8823653459999999,0.005297689,0.356336325,0.7579497690000001,0.192300707,0.6789778470000001,1.421888709,1.801322937,1.3890651459999999,0.199368045,,0.315363636,0.311804265,,,Western Europe
Macedonia,2016,5.34574604,9.476909637,0.8712122440000001,65.7313385,0.7061793209999999,0.077230327,0.869719028,0.6387372020000001,0.292294681,0.256954134,-0.308208942,-0.02103078,2.175041437,0.40687331600000004,,0.390166667,0.524655521,MKD,100.0,Central and Eastern Europe
